# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_GNI_10_BH2
# sample_count: 28800
# sample_rate_hz: 40
# start_time: 2019-11-07T22:48:00.019534Z
# latitude_deg: 40.148
# longitude_deg: 44.741
# elevation_m: 1509.0
# depth_m: 100.0
# azimuth_deg: 90.0
# dip_deg: 0
# instrument: Trillium 240 broad band
# scale_factor: 1.98307E9
# scale_frequency_hz: 0.02
# scale_units: m/s
# field_unit: UTC, COUNTS
# field_type: datetime, INTEGER
Time, Sample
2019-11-07T22:48:00.019534Z, 10040
2019-11-07T22:48:00.044534Z, 10618
2019-11-07T22:48:00.069534Z, 11119
2019-11-07T22:48:00.094534Z, 11570
2019-11-07T22:48:00.119534Z, 12045
2019-11-07T22:48:00.144534Z, 12589
2019-11-07T22:48:00.169534Z, 13223
2019-11-07T22:48:00.194534Z, 13898
2019-11-07T22:48:00.219534Z, 14549
2019-11-07T22:48:00.244534Z, 15210
2019-11-07T22:48:00.269534Z, 15871
2019-11-07T22:48:00.294534Z, 16484
2019-11-07T22:48:00.319534Z, 17017
2019-11-07T22:48:00.344534Z, 17449
2019-11-07T22:48:00.369534Z, 17822
2019-11-07T22:48:00.394534Z, 18171
2019-11-07T22:48:00.419534Z, 18540
2019-11-07T22:48:00.444534Z, 18975
2019-11-07T22:48:00.469534Z, 19458
2019-11-07T22:48:00.494534Z, 19929
2019-11-07T22:48:00.519534Z, 20282
2019-11-07T22:48:00.544534Z, 20519
2019-11-07T22:48:00.569534Z, 20804
2019-11-07T22:48:00.594534Z, 21257
2019-11-07T22:48:00.619534Z, 21878
2019-11-07T22:48:00.644534Z, 22628
2019-11-07T22:48:00.669534Z, 23449
2019-11-07T22:48:00.694534Z, 24215
2019-11-07T22:48:00.719534Z, 24767
2019-11-07T22:48:00.744534Z, 25099
2019-11-07T22:48:00.769534Z, 25363
2019-11-07T22:48:00.794534Z, 25649
2019-11-07T22:48:00.819534Z, 25938
2019-11-07T22:48:00.844534Z, 26120
2019-11-07T22:48:00.869534Z, 26135
2019-11-07T22:48:00.894534Z, 26117
2019-11-07T22:48:00.919534Z, 26167
2019-11-07T22:48:00.944534Z, 26257
2019-11-07T22:48:00.969534Z, 26398
2019-11-07T22:48:00.994534Z, 26622
2019-11-07T22:48:01.019534Z, 26852
2019-11-07T22:48:01.044534Z, 26909
2019-11-07T22:48:01.069534Z, 26717
2019-11-07T22:48:01.094534Z, 26310
2019-11-07T22:48:01.119534Z, 25783
2019-11-07T22:48:01.144534Z, 25298
2019-11-07T22:48:01.169534Z, 24864
2019-11-07T22:48:01.194534Z, 24357
2019-11-07T22:48:01.219534Z, 23696
2019-11-07T22:48:01.244534Z, 22915
2019-11-07T22:48:01.269534Z, 22102
2019-11-07T22:48:01.294534Z, 21297
2019-11-07T22:48:01.319534Z, 20653
2019-11-07T22:48:01.344534Z, 20381
2019-11-07T22:48:01.369534Z, 20413
2019-11-07T22:48:01.394534Z, 20426
2019-11-07T22:48:01.419534Z, 20219
2019-11-07T22:48:01.444534Z, 19985
2019-11-07T22:48:01.469534Z, 20051
2019-11-07T22:48:01.494534Z, 20430
2019-11-07T22:48:01.519534Z, 20787
2019-11-07T22:48:01.544534Z, 20850
2019-11-07T22:48:01.569534Z, 20668
2019-11-07T22:48:01.594534Z, 20426
2019-11-07T22:48:01.619534Z, 20176
2019-11-07T22:48:01.644534Z, 19747
2019-11-07T22:48:01.669534Z, 19092
2019-11-07T22:48:01.694534Z, 18514
2019-11-07T22:48:01.719534Z, 18308
