# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_GNI_10_BHZ
# sample_count: 28800
# sample_rate_hz: 40
# start_time: 2019-11-07T22:48:00.019539Z
# latitude_deg: 40.148
# longitude_deg: 44.741
# elevation_m: 1509.0
# depth_m: 100.0
# azimuth_deg: 0.0
# dip_deg: -90
# instrument: Trillium 240 broad band
# scale_factor: 1.98307E9
# scale_frequency_hz: 0.02
# scale_units: m/s
# field_unit: UTC, COUNTS
# field_type: datetime, INTEGER
Time, Sample
2019-11-07T22:48:00.019539Z, -44723
2019-11-07T22:48:00.044539Z, -45965
2019-11-07T22:48:00.069539Z, -47168
2019-11-07T22:48:00.094539Z, -48200
2019-11-07T22:48:00.119539Z, -48921
2019-11-07T22:48:00.144539Z, -49265
2019-11-07T22:48:00.169539Z, -49165
2019-11-07T22:48:00.194539Z, -48577
2019-11-07T22:48:00.219539Z, -47555
2019-11-07T22:48:00.244539Z, -46192
2019-11-07T22:48:00.269539Z, -44535
2019-11-07T22:48:00.294539Z, -42595
2019-11-07T22:48:00.319539Z, -40417
2019-11-07T22:48:00.344539Z, -38052
2019-11-07T22:48:00.369539Z, -35707
2019-11-07T22:48:00.394539Z, -33728
2019-11-07T22:48:00.419539Z, -32300
2019-11-07T22:48:00.444539Z, -31577
2019-11-07T22:48:00.469539Z, -31712
2019-11-07T22:48:00.494539Z, -32628
2019-11-07T22:48:00.519539Z, -34030
2019-11-07T22:48:00.544539Z, -35579
2019-11-07T22:48:00.569539Z, -36992
2019-11-07T22:48:00.594539Z, -38023
2019-11-07T22:48:00.619539Z, -38548
2019-11-07T22:48:00.644539Z, -38535
2019-11-07T22:48:00.669539Z, -37986
2019-11-07T22:48:00.694539Z, -37069
2019-11-07T22:48:00.719539Z, -35959
2019-11-07T22:48:00.744539Z, -34635
2019-11-07T22:48:00.769539Z, -33032
2019-11-07T22:48:00.794539Z, -31172
2019-11-07T22:48:00.819539Z, -28990
2019-11-07T22:48:00.844539Z, -26426
2019-11-07T22:48:00.869539Z, -23605
2019-11-07T22:48:00.894539Z, -20560
2019-11-07T22:48:00.919539Z, -17209
2019-11-07T22:48:00.944539Z, -13620
2019-11-07T22:48:00.969539Z, -9970
2019-11-07T22:48:00.994539Z, -6278
2019-11-07T22:48:01.019539Z, -2471
2019-11-07T22:48:01.044539Z, 1276
2019-11-07T22:48:01.069539Z, 4796
2019-11-07T22:48:01.094539Z, 8137
2019-11-07T22:48:01.119539Z, 11132
2019-11-07T22:48:01.144539Z, 13423
2019-11-07T22:48:01.169539Z, 14887
2019-11-07T22:48:01.194539Z, 15588
2019-11-07T22:48:01.219539Z, 15566
2019-11-07T22:48:01.244539Z, 14914
2019-11-07T22:48:01.269539Z, 13706
2019-11-07T22:48:01.294539Z, 11932
2019-11-07T22:48:01.319539Z, 9680
