# dataset: GeoCSV 2.0
# delimiter: ,
# SID: IU_GNI_10_BH1
# sample_count: 28800
# sample_rate_hz: 40
# start_time: 2019-11-07T22:48:00.019536Z
# latitude_deg: 40.148
# longitude_deg: 44.741
# elevation_m: 1509.0
# depth_m: 100.0
# azimuth_deg: 0.0
# dip_deg: 0
# instrument: Trillium 240 broad band
# scale_factor: 1.98307E9
# scale_frequency_hz: 0.02
# scale_units: m/s
# field_unit: UTC, COUNTS
# field_type: datetime, INTEGER
# Plot: https://service.iris.edu/irisws/timeseries/1/query?net=IU&sta=GNI&cha=BH1&start=2019-11-07T22:48:00&end=2019-11-07T23:00:00&format=plot&loc=10
Time, Sample
2019-11-07T22:48:00.019536Z, -15922
2019-11-07T22:48:00.044536Z, -16923
2019-11-07T22:48:00.069536Z, -17864
2019-11-07T22:48:00.094536Z, -18743
2019-11-07T22:48:00.119536Z, -19594
2019-11-07T22:48:00.144536Z, -20450
2019-11-07T22:48:00.169536Z, -21321
2019-11-07T22:48:00.194536Z, -22175
2019-11-07T22:48:00.219536Z, -22966
2019-11-07T22:48:00.244536Z, -23695
2019-11-07T22:48:00.269536Z, -24357
2019-11-07T22:48:00.294536Z, -24920
2019-11-07T22:48:00.319536Z, -25385
2019-11-07T22:48:00.344536Z, -25785
2019-11-07T22:48:00.369536Z, -26148
2019-11-07T22:48:00.394536Z, -26506
2019-11-07T22:48:00.419536Z, -26922
2019-11-07T22:48:00.444536Z, -27433
2019-11-07T22:48:00.469536Z, -28007
2019-11-07T22:48:00.494536Z, -28567
2019-11-07T22:48:00.519536Z, -29009
2019-11-07T22:48:00.544536Z, -29312
2019-11-07T22:48:00.569536Z, -29523
2019-11-07T22:48:00.594536Z, -29727
2019-11-07T22:48:00.619536Z, -30048
2019-11-07T22:48:00.644536Z, -30567
2019-11-07T22:48:00.669536Z, -31256
2019-11-07T22:48:00.694536Z, -31999
2019-11-07T22:48:00.719536Z, -32694
2019-11-07T22:48:00.744536Z, -33305
2019-11-07T22:48:00.769536Z, -33844
2019-11-07T22:48:00.794536Z, -34344
2019-11-07T22:48:00.819536Z, -34797
2019-11-07T22:48:00.844536Z, -35147
2019-11-07T22:48:00.869536Z, -35309
2019-11-07T22:48:00.894536Z, -35254
2019-11-07T22:48:00.919536Z, -35002
2019-11-07T22:48:00.944536Z, -34593
2019-11-07T22:48:00.969536Z, -34103
2019-11-07T22:48:00.994536Z, -33530
2019-11-07T22:48:01.019536Z, -32850
2019-11-07T22:48:01.044536Z, -32121
2019-11-07T22:48:01.069536Z, -31358
2019-11-07T22:48:01.094536Z, -30498
2019-11-07T22:48:01.119536Z, -29489
2019-11-07T22:48:01.144536Z, -28454
2019-11-07T22:48:01.169536Z, -27580
2019-11-07T22:48:01.194536Z, -26890
2019-11-07T22:48:01.219536Z, -26347
2019-11-07T22:48:01.244536Z, -25943
2019-11-07T22:48:01.269536Z, -25639
2019-11-07T22:48:01.294536Z, -25304
2019-11-07T22:48:01.319536Z, -24829
2019-11-07T22:48:01.344536Z, -24271
2019-11-07T22:48:01.369536Z, -23711
2019-11-07T22:48:01.394536Z, -23092
2019-11-07T22:48:01.419536Z, -22334
2019-11-07T22:48:01.444536Z, -21510
2019-11-07T22:48:01.469536Z, -20695
2019-11-07T22:48:01.494536Z, -19873
2019-11-07T22:48:01.519536Z, -19004
2019-11-07T22:48:01.544536Z, -18034
2019-11-07T22:48:01.569536Z, -17043
2019-11-07T22:48:01.594536Z, -16188
2019-11-07T22:48:01.619536Z, -15497
2019-11-07T22:48:01.644536Z, -14817
2019-11-07T22:48:01.669536Z, -13958
2019-11-07T22:48:01.694536Z, -12883
2019-11-07T22:48:01.719536Z, -11766
2019-11-07T22:48:01.744536Z, -10915
2019-11-07T22:48:01.769536Z, -10427
2019-11-07T22:48:01.794536Z, -10109
2019-11-07T22:48:01.819536Z, -9804
2019-11-07T22:48:01.844536Z, -9506
2019-11-07T22:48:01.869536Z, -9272
2019-11-07T22:48:01.894536Z, -9183
2019-11-07T22:48:01.919536Z, -9362
2019-11-07T22:48:01.944536Z, -9984
2019-11-07T22:48:01.969536Z, -11097
2019-11-07T22:48:01.994536Z, -12563
2019-11-07T22:48:02.019536Z, -14189
2019-11-07T22:48:02.044536Z, -15761
2019-11-07T22:48:02.069536Z, -17113
